alert	rule	path	line	reason	comment
2220	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	145	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2221	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	147	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2222	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	150	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2223	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	158	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2224	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	170	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2225	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	171	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2226	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	173	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2227	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	189	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2228	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	198	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2229	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	199	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2230	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	200	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2231	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	202	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2232	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	222	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2233	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	224	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2234	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	242	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2235	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	244	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2236	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	273	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2237	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	275	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2238	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	276	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2239	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	289	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2240	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	291	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2241	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	311	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2242	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	313	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2243	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	325	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2244	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	327	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2245	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	344	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2246	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	346	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2247	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	362	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2248	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	364	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2249	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	388	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2250	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	389	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2251	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	391	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2252	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	411	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2253	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	412	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2254	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	414	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2255	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	434	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2256	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	435	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2257	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	436	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2258	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	438	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2259	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	456	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2260	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	457	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2261	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	459	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2262	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	473	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2263	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	490	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2264	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	491	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2265	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	505	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2266	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	524	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2267	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	525	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2268	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	550	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2269	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	551	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2270	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	568	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2271	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	569	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2272	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	588	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2273	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	590	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2274	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	591	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2275	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	618	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
2276	cs/call-to-obsolete-method	tests/KeenEyes.Core.Tests/PrefabTests.cs	619	used in tests	Deliberately exercises the deprecated runtime prefab API (EntityPrefab / RegisterPrefab / SpawnFromPrefab). The replacement is build-time source-generated .keprefab spawn methods, which have no runtime-API equivalent for registration, inheritance resolution, or error-handling behaviors under test; these tests guard the still-shipping deprecated API. API removal is a separate concern (out of scope for a test PR).
